job,skill
Biostatistics Manager / Director,Biostatistics Statistics SAS Writing Clinical Trials Communication Skills Research Clinical Development Clinical Study Drug Development Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Boilermaker,Repair Boilermaking Boilers Cleaning Welding Inspection Hand Tools Refractory Power Tools Preventive Maintenance Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Bookkeeper,Accounting Quickbooks Microsoft Excel General Ledger Account Reconciliation Detail-Oriented Communication Skills Bank Reconciliation Payroll Processing Organizational Skills Accounting Accounts Payable / Accounts Receivable Communication Skills Detail-Oriented Bookkeeping Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation
Bookkeeper / Accounting Clerk,Accounting Microsoft Excel Accounts Payable / Accounts Receivable Communication Skills Detail-Oriented Bookkeeping Data Entry Organizational Skills Research Microsoft Office Accounting Accounts Payable / Accounts Receivable Communication Skills Detail-Oriented Bookkeeping Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation
Brick / Stone Mason,Masonry Repair Physical Demand Hand Tools Writing Scheduling Research Teaching Creativity Typing Masonry Carpentry Insulation
Broadcast Technician,Broadcast Communication Skills Detail-Oriented Editing Computer Skills Organizational Skills Scheduling Microsoft Office Writing Repair Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Brokerage Clerk,Communication Skills Microsoft Excel Customer Service Detail-Oriented Research Writing Microsoft Office Organizational Skills Data Entry Problem Solving Research Securities Decision Making Risk Management Equities
Build and Release Engineer ,Git LINUX Configuration Management JAVA Communication Skills Python Software Development Troubleshooting PERL Hardware and Software Configuration Software Development JavaScript Python jQuery Web Development Problem Solving Troubleshooting Planning Web Development Debugging Communication Skills Writing Problem Solving Planning Web Development
Bus Driver,Bus Driving Physical Demand Commercial Driving Scheduling Post Trip Inspections Inspection Transporting Communication Skills Customer Service Pre Trip Inspections Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Business / Management Analyst,Business Analysis Communication Skills Writing Project Management Microsoft Excel Business Process Problem Solving Planning Team Work/ Collaboration Research Business Analysis Project Management Business Process Customer Service Process Improvement Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets
Business / Management Consultant,Communication Skills Project Management Writing Problem Solving Planning Creativity Business Process Team Work/ Collaboration Microsoft Excel Management Consulting Business Analysis Project Management Business Process Customer Service Process Improvement Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets
Business / Systems Analyst ,Business Systems Analysis Business Systems Communication Skills Business Analysis Systems Analysis Business Process Writing Project Management Problem Solving SQL Communication Skills Systems Analysis Problem Solving Business Process Business Analysis Systems Analysis Business Process Business Analysis Business Systems Analysis Business Systems Information Systems Customer Service Technical Support Data Management Enterprise Resource Planning (ERP)
Business Analysis Manager,Business Analysis Communication Skills Project Management Business Process Problem Solving Writing Microsoft Excel Planning Research Team Work/ Collaboration Business Analysis Project Management Business Process Customer Service Process Improvement Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets
Business Analyst (General),Business Analysis Communication Skills Writing Microsoft Excel Problem Solving Project Management Business Process Planning Team Work/ Collaboration Customer Service Business Analysis Project Management Business Process Customer Service Process Improvement Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets Microsoft Excel Microsoft Office Data Analysis Data Management Spreadsheets
Business Banker,Cross Sell Product Sales Communication Skills Building Effective Relationships Sales Business Development Customer Contact Customer Service Financial Responsibility Sales Calls Sales Product Sales Financial Responsibility Prospective Clients Financial Sales
Business Continuity Planner / Analyst,Project Management Planning Communication Skills Budgeting Microsoft Excel Scheduling Writing Process Design Microsoft Office Change Management Project Management Process Design Change Management Business Process Process Improvement Microsoft Excel Microsoft Office Data Entry Spreadsheets Data Management Microsoft Excel Microsoft Office Data Entry Spreadsheets Data Management
Business Intelligence Analyst ,Communication Skills SQL Microsoft Excel Problem Solving Business Intelligence Writing Data Analysis Project Management SAP Team Work/ Collaboration Business Intelligence Data Analysis Project Management Business Process Business Analysis Microsoft Excel Microsoft Office Microsoft Powerpoint Microsoft Access Budgeting
Business Intelligence Architect / Developer ,SQL Communication Skills Business Intelligence Salesforce Writing Data Warehousing Oracle Extraction Transformation and Loading (ETL) Team Work/ Collaboration Problem Solving SQL SQL Server Software Development Microsoft Sql Server Integration Services (SSIS) Data Management Business Process Project Management Microsoft Excel Relational Databases Information Systems Microsoft Excel Microsoft Office Budgeting
